FECHA;FECHAAPERTURA;TARJETA;CORREDOR;LINEA;SENTIDO
27/01/2019 12:05:20 AM;26/01/2019 11:56:24 PM;3040767;Cor 1 Naranja;L10;Ida
27/01/2019 12:05:21 AM;27/01/2019 12:01:19 AM;8094767;Cor 3 Rojo;L30;Ida
27/01/2019 12:05:21 AM;26/01/2019 10:26:23 PM;8011422;Cor 3 Rojo;L35;Vuelta
27/01/2019 12:05:21 AM;26/01/2019 10:28:10 PM;5302671;Cor 7 Azul;L70;Vuelta
27/01/2019 12:05:23 AM;27/01/2019 12:01:19 AM;8090633;Cor 3 Rojo;L30;Ida
27/01/2019 12:05:23 AM;26/01/2019 11:56:26 PM;3797746;Cor 2 Azul;L21;Ida
27/01/2019 12:05:25 AM;26/01/2019 11:56:26 PM;3797746;Cor 2 Azul;L21;Ida
27/01/2019 12:05:26 AM;26/01/2019 11:42:17 PM;3318886;Cor 7 Azul;L71;Ida
27/01/2019 12:05:27 AM;26/01/2019 11:42:17 PM;3318886;Cor 7 Azul;L71;Ida
27/01/2019 12:05:30 AM;26/01/2019 11:48:17 PM;8006354;Cor 5 Amarillo;L45;Ida
27/01/2019 12:05:33 AM;26/01/2019 11:48:17 PM;4081209;Cor 5 Amarillo;L45;Ida
27/01/2019 12:05:34 AM;26/01/2019 10:41:31 PM;5151728;Cor 6 Naranja;L65;Vuelta
27/01/2019 12:05:36 AM;26/01/2019 11:48:17 PM;5239326;Cor 5 Amarillo;L45;Ida
27/01/2019 12:05:41 AM;26/01/2019 09:38:27 PM;5692845;Cor 1 Naranja;L12;Vuelta
27/01/2019 12:05:42 AM;26/01/2019 11:48:17 PM;6109624;Cor 5 Amarillo;L45;Ida
27/01/2019 12:05:44 AM;26/01/2019 11:29:08 PM;5007777;Cor 3 Rojo;L35;Ida
27/01/2019 12:05:46 AM;26/01/2019 09:17:12 PM;2425501;Cor 1 Naranja;L11;Vuelta
27/01/2019 12:05:47 AM;26/01/2019 11:29:08 PM;3442977;Cor 3 Rojo;L35;Ida
27/01/2019 12:05:50 AM;26/01/2019 11:29:08 PM;4332322;Cor 3 Rojo;L35;Ida
27/01/2019 12:05:52 AM;26/01/2019 11:41:48 PM;6002156;Cor 5 Amarillo;L50;Ida
27/01/2019 12:05:52 AM;26/01/2019 11:29:08 PM;4764276;Cor 3 Rojo;L35;Ida
27/01/2019 12:05:54 AM;26/01/2019 11:41:48 PM;6002156;Cor 5 Amarillo;L50;Ida
27/01/2019 12:05:55 AM;26/01/2019 11:33:59 PM;4828093;Cor 6 Naranja;L66;Ida
27/01/2019 12:05:55 AM;26/01/2019 10:00:16 PM;5770166;Cor 3 Rojo;L32;Vuelta
27/01/2019 12:05:58 AM;26/01/2019 10:00:16 PM;2848638;Cor 3 Rojo;L32;Vuelta
27/01/2019 12:05:59 AM;26/01/2019 11:41:48 PM;5269508;Cor 5 Amarillo;L50;Ida
27/01/2019 12:06:00 AM;26/01/2019 11:29:08 PM;5515819;Cor 3 Rojo;L35;Ida
27/01/2019 12:06:01 AM;26/01/2019 11:29:08 PM;5515819;Cor 3 Rojo;L35;Ida
27/01/2019 12:06:01 AM;26/01/2019 11:28:46 PM;5746965;Cor 3 Rojo;L32;Ida
27/01/2019 12:06:02 AM;26/01/2019 11:41:48 PM;5269508;Cor 5 Amarillo;L50;Ida
27/01/2019 12:06:03 AM;26/01/2019 11:28:46 PM;4475977;Cor 3 Rojo;L32;Ida
27/01/2019 12:06:04 AM;26/01/2019 11:35:40 PM;3182666;Cor 4 Amarillo;L40;Ida
27/01/2019 12:06:05 AM;26/01/2019 11:41:48 PM;5269508;Cor 5 Amarillo;L50;Ida
27/01/2019 12:06:05 AM;26/01/2019 11:28:46 PM;4475977;Cor 3 Rojo;L32;Ida
27/01/2019 12:06:06 AM;26/01/2019 11:29:08 PM;5533511;Cor 3 Rojo;L35;Ida
27/01/2019 12:06:06 AM;26/01/2019 11:35:40 PM;2729746;Cor 4 Amarillo;L40;Ida
27/01/2019 12:06:08 AM;26/01/2019 11:29:08 PM;5533511;Cor 3 Rojo;L35;Ida
27/01/2019 12:06:08 AM;26/01/2019 11:41:48 PM;3014197;Cor 5 Amarillo;L50;Ida
27/01/2019 12:06:11 AM;26/01/2019 11:24:44 PM;3178022;Cor 4 Amarillo;L43;Vuelta
27/01/2019 12:06:12 AM;26/01/2019 11:29:08 PM;8096115;Cor 3 Rojo;L35;Ida
27/01/2019 12:06:13 AM;26/01/2019 11:48:17 PM;3831343;Cor 5 Amarillo;L45;Ida
